schema_version	harness_commit	epoch	judged_at_utc	commit	scope	board	workload_class	outcome	judged_r	ci_low	ci_high	prove_ms	native_mhz	peak_rss_mib	waits	dispatches	energy_j	gates	holdout	submission_id	predecessor	supersedes
2	a9faa70efc0d	1	2026-07-21T00:27:39Z	016ced5f6468c59fa0eae211d5e71b93dde71972	s3	core_cpu	deep	neutral	0.992462	0.984718	1.001906	6.723625	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-merkle-tail-arena	564cea426cf4		claimed
2	a9faa70efc0d	1	2026-07-21T00:27:39Z	016ced5f6468c59fa0eae211d5e71b93dde71972	s3	core_cpu	wide	neutral	1.007741	0.993011	1.014394	10.929583	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-merkle-tail-arena	564cea426cf4		claimed
2	7d32a7a3364b	1	2026-07-21T01:08:00Z	755146a5d1585201fe7cbf343d0486c9d812e8c4	s3	core_cpu	small	neutral	1.013446	1.001977	1.034997	1.552959	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-generic-merkle-tail-arena	f81b2cc64f7f		claimed
2	7d32a7a3364b	1	2026-07-21T01:08:00Z	755146a5d1585201fe7cbf343d0486c9d812e8c4	s3	core_cpu	deep	neutral	1.000753	0.993403	1.010620	6.781667	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-generic-merkle-tail-arena	f81b2cc64f7f		claimed
2	7d32a7a3364b	1	2026-07-21T01:08:01Z	755146a5d1585201fe7cbf343d0486c9d812e8c4	s3	core_cpu	wide	neutral	1.010167	0.999346	1.023140	10.862875	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-generic-merkle-tail-arena	f81b2cc64f7f		claimed
2	24820b7c6102	1	2026-07-21T02:09:25Z	671dc42f179411544a96ff180ae3041a25edac39	s3	core_cpu	small	neutral	1.006939	0.988292	1.023601	1.481584	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-fold-leaf-fusion	cafbe2c8a71f		claimed
2	24820b7c6102	1	2026-07-21T02:09:25Z	671dc42f179411544a96ff180ae3041a25edac39	s3	core_cpu	deep	neutral	0.996983	0.990875	1.001992	6.715250	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-fold-leaf-fusion	cafbe2c8a71f		claimed
2	24820b7c6102	1	2026-07-21T02:09:25Z	671dc42f179411544a96ff180ae3041a25edac39	s3	core_cpu	wide	rejected	0.990850	0.969960	0.997646	10.649584	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-fold-leaf-fusion	cafbe2c8a71f		claimed
2	35a0e0cfc689	1	2026-07-21T03:04:11Z	850598e59d9aca016c0da1d63c3852f8a7eabd46	s3	core_cpu	deep	neutral	0.992857	0.983005	0.999242	6.712792	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-multiblock-merkle-tail	6c622c60297d		claimed
2	9cd4618522e8	1	2026-07-21T03:47:33Z	58eefe30f62baa19f9e962d16d95584412fcb2a9	s3	core_cpu	deep	neutral	1.004291	0.995180	1.012168	6.740625	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-generic-merkle-multiblock	35819ff7920d		claimed
2	76d11f22730e	1	2026-07-21T04:40:50Z	fd3b4f6814c2b371fc478c16ddb26ae64a2cee7d	s3	core_cpu	deep	neutral	1.002030	0.992525	1.010364	6.746625	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-linear-transcript-tail	f52e3a791dd7		claimed
2	1d8462e1dcc8	1	2026-07-21T05:21:45Z	b9b19532efc37cbdb26226d4013232d45b3a29cd	s3	core_cpu	deep	neutral	1.003762	0.994166	1.011610	6.727542	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-linear-quotient-domain-walk	fcb324e4077c		claimed
2	9d43757fa9c2	1	2026-07-21T05:58:53Z	95d5646555f4518093f0e48bf6ace310cad04c80	s3	core_cpu	deep	neutral	1.005374	0.997788	1.012314	6.730000	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-resident-quotient-domain-cache	483275c35d73		claimed
